index,buysell,durationtype,advisor,otheradvices,symbolname,success,advisor,niftysentiment
0,1,2,169,False,ADANIENT,False,169,1
1,1,3,161,True,GODREJCP,True,161,2
2,1,2,39,False,CIPLA,False,39,2
3,1,3,156,True,RELIANCE,True,156,1
4,1,3,142,True,GODREJCP,True,142,1
5,1,2,205,False,PHILIPCARB,False,205,2
7,1,2,39,True,SBIN,False,39,2
8,1,2,168,True,RBLBANK,False,168,2
9,1,3,157,True,TATASTEEL,True,157,1
10,1,2,219,False,TATAELXSI,False,219,2
11,1,3,157,True,RELIANCE,True,157,1
12,1,2,167,True,ICICIBANK,False,167,2
13,1,2,168,True,YESBANK,True,168,1
14,1,2,167,False,RELIANCE,False,167,2
15,1,3,158,True,RELIANCE,True,158,1
16,2,3,145,True,GODREJPROP,True,145,1
17,1,2,169,True,ASHOKLEY,False,169,2
18,1,2,39,True,TATAMOTORS,False,39,2
19,1,2,168,True,PIDILITIND,True,168,1
20,1,2,169,True,ASHOKLEY,False,169,2
21,1,2,162,True,VEDL,False,162,2
22,1,2,162,False,GRUH,False,162,2
23,1,1,73,False,KIRIINDUS,False,73,1
24,1,2,175,True,VEDL,False,175,2
25,1,2,219,False,WABAG,False,219,1
27,1,2,167,True,ULTRACEMCO,False,167,1
28,1,2,39,False,BIRLACORPN,False,39,1
29,2,3,159,True,YESBANK,True,159,1
30,1,2,167,True,APOLLOHOSP,False,167,1
31,1,2,168,True,LICHSGFIN,True,168,1
32,1,3,127,True,NIITTECH,True,127,1
33,1,3,182,True,NIITTECH,True,182,1
34,1,2,167,True,HDFC,True,167,1
36,1,2,128,True,STAR,False,128,2
37,1,2,128,True,ENGINERSIN,False,128,1
38,1,2,168,True,ENGINERSIN,False,168,1
39,1,3,164,False,AARTIIND,True,164,1
40,1,2,170,True,TCS,True,170,0
41,1,1,73,True,PCJEWELLER,False,73,1
42,1,2,167,False,PFC,False,167,2
43,1,2,168,True,GSFC,False,168,2
44,1,3,181,True,JSWSTEEL,True,181,1
45,1,2,151,True,INFY,True,151,2
48,1,3,121,False,AARTIIND,True,121,1
49,2,3,138,True,BANKINDIA,True,138,2
50,1,2,162,False,ACC,False,162,2
51,1,2,168,False,AVANTIFEED,False,168,1
52,1,1,73,True,APTECHT,False,73,1
53,2,2,167,False,INDUSINDBK,True,167,2
54,1,2,175,True,ENGINERSIN,False,175,1
55,1,2,39,False,COLPAL,False,39,1
56,1,2,39,False,HDIL,False,39,2
57,1,2,167,True,ORIENTBANK,False,167,1
58,1,1,73,False,GATI,False,73,1
60,1,2,168,True,GSFC,False,168,2
61,1,3,138,True,JUBLFOOD,True,138,1
62,1,2,166,True,MINDTREE,False,166,1
63,1,3,142,False,NTPC,False,142,0
64,1,2,168,False,NAUKRI,False,168,2
65,1,2,170,True,SUNPHARMA,True,170,1
66,2,2,168,False,DCBBANK,False,168,1
67,2,3,201,True,GODREJPROP,True,201,1
68,1,3,148,False,VINATIORGA,True,148,1
70,1,1,73,True,RPGLIFE,False,73,1
71,1,2,175,True,VOLTAS,True,175,1
72,1,2,39,False,TATASTEEL,True,39,1
73,1,2,170,True,HAVELLS,True,170,1
74,1,2,39,True,LUPIN,True,39,1
75,1,1,109,False,CEATLTD,False,109,1
76,1,2,169,True,LUPIN,False,169,1
77,1,2,167,False,HEG,False,167,2
78,1,2,162,True,EXIDEIND,True,162,1
79,1,2,162,True,TATASTEEL,True,162,1
80,1,1,73,True,RPGLIFE,True,73,1
81,1,2,167,False,UNIONBANK,False,167,1
82,1,2,168,True,JSWSTEEL,True,168,1
83,1,2,170,False,EIDPARRY,False,170,1
84,1,2,166,True,M&M,True,166,2
85,1,3,157,False,PAGEIND,True,157,1
86,1,2,128,False,SUNTV,False,128,1
87,1,3,152,True,BEL,True,152,1
88,1,2,151,True,AUROPHARMA,True,151,2
89,1,3,158,True,DRREDDY,True,158,1
90,2,2,168,True,RAYMOND,False,168,1
91,1,2,168,True,LICHSGFIN,True,168,1
92,1,2,39,False,DLF,False,39,1
93,1,2,166,True,TORNTPHARM,True,166,1
94,1,2,219,True,LUPIN,True,219,1
95,1,3,133,True,INOXLEISUR,True,133,1
96,1,2,167,True,NIITTECH,True,167,1
97,1,2,39,False,YESBANK,True,39,1
98,1,2,175,True,NIITTECH,True,175,1
99,1,2,162,True,M&M,True,162,2
100,2,2,175,True,ZEEL,True,175,1
101,1,2,219,False,MCDOWELL-N,False,219,2
102,1,1,73,False,HITECHGEAR,True,73,2
103,1,2,128,True,SRF,False,128,2
104,2,2,168,True,PVR,False,168,1
105,1,2,166,False,GRASIM,False,166,1
106,1,3,121,True,HDFCBANK,True,121,0
107,1,2,39,False,AMBUJACEM,False,39,1
108,2,2,175,True,CESC,True,175,1
110,1,2,175,False,HINDUNILVR,False,175,1
111,1,2,166,False,HDFCBANK,False,166,2
112,1,2,167,False,BALRAMCHIN,True,167,2
113,1,3,170,True,ITC,True,170,2
114,2,2,167,True,PNB,False,167,1
115,1,1,73,False,EVERESTIND,False,73,1
116,2,2,169,False,JUSTDIAL,False,169,1
117,1,3,152,False,AIAENG,True,152,1
119,1,2,39,False,YESBANK,False,39,1
120,2,2,151,True,PVR,False,151,1
121,1,2,212,True,HDFC,False,212,2
122,2,2,167,False,CANFINHOME,True,167,1
123,1,2,166,True,KPIT,False,166,1
124,1,2,39,True,LICHSGFIN,False,39,1
125,1,2,215,True,YESBANK,True,215,1
126,1,3,121,False,HDFCBANK,False,121,2
127,1,3,159,False,STRTECH,True,159,1
128,1,1,73,True,DBL,True,73,1
129,1,2,39,False,DMART,True,39,1
130,1,3,152,True,JUSTDIAL,True,152,1
131,2,2,198,False,REDINGTON,True,198,2
132,1,3,121,True,ASHOKA,False,121,1
133,2,2,162,True,SAIL,True,162,2
134,1,1,73,True,SOBHA,True,73,2
135,1,2,167,True,SBIN,True,167,1
136,1,2,168,True,BAJFINANCE,True,168,1
137,1,1,73,True,JUSTDIAL,True,73,2
138,1,3,157,True,DABUR,True,157,1
139,1,2,170,True,TORNTPHARM,True,170,1
140,1,2,39,True,SRF,False,39,1
141,1,2,39,False,CIPLA,False,39,1
142,1,2,128,True,LUPIN,True,128,1
143,1,1,73,True,NIITTECH,True,73,2
144,1,2,167,True,ICICIBANK,True,167,1
145,1,2,168,False,CUMMINSIND,False,168,1
